Device	Other Devices	Count
DC-9F-DB-8A-7E-1F	['80-2A-A8-83-00-C0', '80-2A-A8-83-00-C0', '80-2A-A8-80-FF-42', '80-2A-A8-80-FF-42', '18-E8-29-63-F4-BF', '18-E8-29-63-F4-BF', '98-F2-B3-22-86-6A', '98-F2-B3-22-86-6A', '70-A7-41-DF-C3-EC', '70-A7-41-DF-C3-EC']	10
80-2A-A8-83-00-C0	['DC-9F-DB-8A-7E-1F', 'DC-9F-DB-8A-7E-1F', '80-2A-A8-80-FF-42', '80-2A-A8-80-FF-42', '18-E8-29-63-F4-BF', '18-E8-29-63-F4-BF', '98-F2-B3-22-86-6A', '98-F2-B3-22-86-6A', '70-A7-41-DF-C3-EC', '70-A7-41-DF-C3-EC']	10
80-2A-A8-80-FF-42	['DC-9F-DB-8A-7E-1F', 'DC-9F-DB-8A-7E-1F', '80-2A-A8-83-00-C0', '80-2A-A8-83-00-C0', '18-E8-29-63-F4-BF', '18-E8-29-63-F4-BF', '98-F2-B3-22-86-6A', '98-F2-B3-22-86-6A', '70-A7-41-DF-C3-EC', '70-A7-41-DF-C3-EC']	10
18-E8-29-63-F4-BF	['DC-9F-DB-8A-7E-1F', 'DC-9F-DB-8A-7E-1F', '80-2A-A8-83-00-C0', '80-2A-A8-83-00-C0', '80-2A-A8-80-FF-42', '80-2A-A8-80-FF-42', '98-F2-B3-22-86-6A', '98-F2-B3-22-86-6A', '70-A7-41-DF-C3-EC', '70-A7-41-DF-C3-EC']	10
98-F2-B3-22-86-6A	['DC-9F-DB-8A-7E-1F', 'DC-9F-DB-8A-7E-1F', '80-2A-A8-83-00-C0', '80-2A-A8-83-00-C0', '80-2A-A8-80-FF-42', '80-2A-A8-80-FF-42', '18-E8-29-63-F4-BF', '18-E8-29-63-F4-BF', '70-A7-41-DF-C3-EC', '70-A7-41-DF-C3-EC']	10
70-A7-41-DF-C3-EC	['DC-9F-DB-8A-7E-1F', 'DC-9F-DB-8A-7E-1F', '80-2A-A8-83-00-C0', '80-2A-A8-83-00-C0', '80-2A-A8-80-FF-42', '80-2A-A8-80-FF-42', '18-E8-29-63-F4-BF', '18-E8-29-63-F4-BF', '98-F2-B3-22-86-6A', '98-F2-B3-22-86-6A']	10
98-F2-B3-29-6C-B8	['0C-C4-7A-AE-7C-CD', '0C-C4-7A-AE-7C-CD', '00-15-5D-96-E0-02', '00-15-5D-96-E0-02', '00-15-5D-96-E0-00', '00-15-5D-96-E0-05']	6
0C-C4-7A-AE-7C-CD	['98-F2-B3-29-6C-B8', '98-F2-B3-29-6C-B8', '00-15-5D-96-E0-02', '00-15-5D-96-E0-02', '00-15-5D-96-E0-00', '00-15-5D-96-E0-05']	6
00-15-5D-96-E0-02	['98-F2-B3-29-6C-B8', '98-F2-B3-29-6C-B8', '0C-C4-7A-AE-7C-CD', '0C-C4-7A-AE-7C-CD', '00-15-5D-96-E0-00', '00-15-5D-96-E0-05']	6
00-15-5D-96-E0-03	['84-34-97-B4-D2-4E', '00-15-5D-96-E0-04', '00-15-5D-96-E0-04', 'B4-7A-F1-46-A2-EC', '94-40-C9-3E-C7-40']	5
00-15-5D-96-E0-04	['84-34-97-B4-D2-4E', '00-15-5D-96-E0-03', '00-15-5D-96-E0-03', 'B4-7A-F1-46-A2-EC', '94-40-C9-3E-C7-40']	5
